NumeActiune,Timestamp
Creare catalog,2022-05-22T16:15:37.474275200
Creare catalog,2022-05-22T16:15:37.490201700
Creare student,2022-05-22T16:15:37.524569800
Creare student,2022-05-22T16:15:37.538694200
Creare student,2022-05-22T16:15:37.539692100
Creare student,2022-05-22T16:15:37.540859700
Creare materie,2022-05-22T16:15:37.542611200
Creare materie,2022-05-22T16:15:37.543856300
Creare materie,2022-05-22T16:15:37.544853800
Creare materie,2022-05-22T16:15:37.545849900
Creare profesor,2022-05-22T16:15:37.546848400
Creare profesor,2022-05-22T16:15:37.558459900
Creare profesor,2022-05-22T16:15:37.559562600
Creare profesor,2022-05-22T16:15:37.560092400
Adaugare student in catalog,2022-05-22T16:15:37.561070700
Adaugare student in catalog,2022-05-22T16:15:37.562067700
Adaugare student in catalog,2022-05-22T16:15:37.563065600
Adaugare student in catalog,2022-05-22T16:15:37.564235600
Adaugare materie in catalog,2022-05-22T16:15:37.565060300
Adaugare materie in catalog,2022-05-22T16:15:37.567054600
Adaugare materie in catalog,2022-05-22T16:15:37.568052600
Adaugare materie in catalog,2022-05-22T16:15:37.570129900
Initializare catalog,2022-05-22T16:15:37.571109
Adaugare nota student,2022-05-22T16:15:37.572107300
Adaugare nota student,2022-05-22T16:15:37.576095400
Adaugare nota student,2022-05-22T16:15:37.578089900
Adaugare nota student,2022-05-22T16:15:37.579087100
Afisare medii descrescator,2022-05-22T16:15:37.608066900
Afisare studenti dupa nume alfabetic,2022-05-22T16:15:37.614155
Creare catalog,2022-05-22T16:15:39.122856700
Creare catalog,2022-05-22T16:15:39.130804200
Creare student,2022-05-22T16:15:39.139784900
Creare student,2022-05-22T16:15:39.143561200
Creare student,2022-05-22T16:15:39.144258100
Creare student,2022-05-22T16:15:39.145238400
Creare materie,2022-05-22T16:15:39.145238400
Creare materie,2022-05-22T16:15:39.146236900
Creare materie,2022-05-22T16:15:39.150738
Creare materie,2022-05-22T16:15:39.153474700
Creare profesor,2022-05-22T16:15:39.154470900
Creare profesor,2022-05-22T16:15:39.157772400
Creare profesor,2022-05-22T16:15:39.158964700
Creare profesor,2022-05-22T16:15:39.165921600
Adaugare student in catalog,2022-05-22T16:15:39.166922200
Adaugare student in catalog,2022-05-22T16:15:39.177958600
Adaugare student in catalog,2022-05-22T16:15:39.178956
Adaugare student in catalog,2022-05-22T16:15:39.179352600
Adaugare materie in catalog,2022-05-22T16:15:39.190923600
Adaugare materie in catalog,2022-05-22T16:15:39.191907500
Adaugare materie in catalog,2022-05-22T16:15:39.193902500
Adaugare materie in catalog,2022-05-22T16:15:39.195415400
Initializare catalog,2022-05-22T16:15:39.196416400
Adaugare nota student,2022-05-22T16:15:39.197155700
Adaugare nota student,2022-05-22T16:15:39.198111800
Adaugare nota student,2022-05-22T16:15:39.198931200
Adaugare nota student,2022-05-22T16:15:39.199923500
Afisare medii descrescator,2022-05-22T16:15:39.217505400
Afisare studenti dupa nume alfabetic,2022-05-22T16:15:39.246049500
Creare catalog,2022-05-22T16:18:10.634895
Creare catalog,2022-05-22T16:18:10.639883
Creare student,2022-05-22T16:18:10.645865400
Creare student,2022-05-22T16:18:10.648926100
Creare student,2022-05-22T16:18:10.648926100
Creare student,2022-05-22T16:18:10.650243600
Creare materie,2022-05-22T16:18:10.650243600
Creare materie,2022-05-22T16:18:10.651232600
Creare materie,2022-05-22T16:18:10.651232600
Creare materie,2022-05-22T16:18:10.652230200
Creare profesor,2022-05-22T16:18:10.653227100
Creare profesor,2022-05-22T16:18:10.654224800
Creare profesor,2022-05-22T16:18:10.655221600
Creare profesor,2022-05-22T16:18:10.656219600
Adaugare student in catalog,2022-05-22T16:18:10.656219600
Adaugare student in catalog,2022-05-22T16:18:10.657265600
Adaugare student in catalog,2022-05-22T16:18:10.657265600
Adaugare student in catalog,2022-05-22T16:18:10.658214100
Adaugare materie in catalog,2022-05-22T16:18:10.659212100
Adaugare materie in catalog,2022-05-22T16:18:10.660209200
Adaugare materie in catalog,2022-05-22T16:18:10.660209200
Adaugare materie in catalog,2022-05-22T16:18:10.661206900
Initializare catalog,2022-05-22T16:18:10.662203600
Adaugare nota student,2022-05-22T16:18:10.662203600
Adaugare nota student,2022-05-22T16:18:10.663201800
Adaugare nota student,2022-05-22T16:18:10.664198900
Adaugare nota student,2022-05-22T16:18:10.664198900
Afisare medii descrescator,2022-05-22T16:18:10.677280300
Afisare studenti dupa nume alfabetic,2022-05-22T16:18:10.680287800
Creare catalog,2022-05-22T16:19:04.539512900
Creare catalog,2022-05-22T16:19:04.545521700
Creare student,2022-05-22T16:19:04.554496900
Creare student,2022-05-22T16:19:04.557490
Creare student,2022-05-22T16:19:04.557490
Creare student,2022-05-22T16:19:04.558486300
Creare materie,2022-05-22T16:19:04.559483700
Creare materie,2022-05-22T16:19:04.559483700
Creare materie,2022-05-22T16:19:04.560480700
Creare materie,2022-05-22T16:19:04.560480700
Creare profesor,2022-05-22T16:19:04.561478600
Creare profesor,2022-05-22T16:19:04.563474800
Creare profesor,2022-05-22T16:19:04.564472700
Creare profesor,2022-05-22T16:19:04.565469500
Adaugare student in catalog,2022-05-22T16:19:04.566466900
Adaugare student in catalog,2022-05-22T16:19:04.567462800
Adaugare student in catalog,2022-05-22T16:19:04.567462800
Adaugare student in catalog,2022-05-22T16:19:04.568721100
Adaugare materie in catalog,2022-05-22T16:19:04.569458800
Adaugare materie in catalog,2022-05-22T16:19:04.569458800
Adaugare materie in catalog,2022-05-22T16:19:04.570474
Adaugare materie in catalog,2022-05-22T16:19:04.570474
Initializare catalog,2022-05-22T16:19:04.571474900
Adaugare nota student,2022-05-22T16:19:04.572472700
Adaugare nota student,2022-05-22T16:19:04.572472700
Adaugare nota student,2022-05-22T16:19:04.573469900
Adaugare nota student,2022-05-22T16:19:04.573469900
Afisare medii descrescator,2022-05-22T16:19:04.586434200
Afisare studenti dupa nume alfabetic,2022-05-22T16:19:04.588429300
Creare catalog,2022-05-22T16:19:40.375095200
Creare catalog,2022-05-22T16:19:40.383968500
Creare student,2022-05-22T16:19:40.394131300
Creare student,2022-05-22T16:19:40.398122700
